breaker_id,timestamp,time_ms,resistance_micro_ohm,travel_mm,coil_current_A,operation_type,label
CB-402,2026-07-08T10:00:00Z,0.0,99.051421,0.192673,0.123023,close,contact_wear_suspected
CB-402,2026-07-08T10:00:00Z,0.5,99.992979,0.205074,0.13923,close,contact_wear_suspected
CB-402,2026-07-08T10:00:00Z,1.0,99.332239,0.218272,0.157177,close,contact_wear_suspected
CB-402,2026-07-08T10:00:00Z,1.5,100.48468,0.232316,0.176996,close,contact_wear_suspected
CB-402,2026-07-08T10:00:00Z,2.0,100.61964,0.247262,0.198815,close,contact_wear_suspected
CB-402,2026-07-08T10:00:00Z,2.5,101.243032,0.263167,0.222767,close,contact_wear_suspected
CB-402,2026-07-08T10:00:00Z,3.0,101.454747,0.280093,0.248981,close,contact_wear_suspected
CB-402,2026-07-08T10:00:00Z,3.5,101.155697,0.298103,0.277584,close,contact_wear_suspected
CB-402,2026-07-08T10:00:00Z,4.0,100.979222,0.317268,0.308701,close,contact_wear_suspected
CB-402,2026-07-08T10:00:00Z,4.5,101.557889,0.337661,0.34245,close,contact_wear_suspected
CB-402,2026-07-08T10:00:00Z,5.0,101.2319,0.35936,0.378939,close,contact_wear_suspected
CB-402,2026-07-08T10:00:00Z,5.5,101.592933,0.382448,0.418269,close,contact_wear_suspected
CB-402,2026-07-08T10:00:00Z,6.0,102.155129,0.407014,0.460528,close,contact_wear_suspected
CB-402,2026-07-08T10:00:00Z,6.5,101.571424,0.43315,0.505792,close,contact_wear_suspected
CB-402,2026-07-08T10:00:00Z,7.0,102.288838,0.460957,0.554116,close,contact_wear_suspected
CB-402,2026-07-08T10:00:00Z,7.5,102.327373,0.490541,0.605542,close,contact_wear_suspected
CB-402,2026-07-08T10:00:00Z,8.0,101.681163,0.522013,0.660089,close,contact_wear_suspected
CB-402,2026-07-08T10:00:00Z,8.5,102.629019,0.555492,0.717752,close,contact_wear_suspected
CB-402,2026-07-08T10:00:00Z,9.0,102.576422,0.591107,0.778504,close,contact_wear_suspected
CB-402,2026-07-08T10:00:00Z,9.5,102.370308,0.62899,0.84229,close,contact_wear_suspected
CB-402,2026-07-08T10:00:00Z,10.0,102.034596,0.669285,0.909027,close,contact_wear_suspected
CB-402,2026-07-08T10:00:00Z,10.5,102.034815,0.712143,0.978602,close,contact_wear_suspected
CB-402,2026-07-08T10:00:00Z,11.0,102.21377,0.757724,1.050871,close,contact_wear_suspected
CB-402,2026-07-08T10:00:00Z,11.5,102.724454,0.806199,1.12566,close,contact_wear_suspected
CB-402,2026-07-08T10:00:00Z,12.0,102.065035,0.857749,1.202761,close,contact_wear_suspected
CB-402,2026-07-08T10:00:00Z,12.5,102.696881,0.912564,1.281933,close,contact_wear_suspected
CB-402,2026-07-08T10:00:00Z,13.0,101.936277,0.970848,1.362906,close,contact_wear_suspected
