breaker_id,timestamp,time_ms,resistance_micro_ohm,travel_mm,coil_current_A,operation_type,label
CB-402,2026-07-08T10:30:00Z,0.0,100.235778,0.074603,0.074673,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,0.65,100.484898,0.079609,0.085326,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,1.3,100.053842,0.084951,0.097256,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,1.95,100.720246,0.090651,0.110577,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,2.6,100.876509,0.096733,0.125408,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,3.25,100.525244,0.103223,0.141874,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,3.9,100.415066,0.110148,0.160101,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,4.55,100.53159,0.117537,0.180219,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,5.2,101.243312,0.12542,0.202358,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,5.85,101.486721,0.133832,0.226649,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,6.5,101.112827,0.142807,0.253222,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,7.15,101.605523,0.152384,0.282205,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,7.8,101.968109,0.162601,0.313719,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,8.45,102.100607,0.173502,0.347882,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,9.1,102.624629,0.185133,0.384802,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,9.75,102.597184,0.197541,0.424578,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,10.4,101.660239,0.21078,0.467295,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,11.05,102.94838,0.224904,0.513026,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,11.7,102.023128,0.239972,0.561825,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,12.35,102.794634,0.256047,0.613731,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,13.0,102.408235,0.273196,0.668758,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,13.65,102.235991,0.29149,0.726899,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,14.3,101.642255,0.311005,0.788122,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,14.95,102.403083,0.331823,0.852368,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,15.6,101.793344,0.354029,0.919549,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,16.25,102.935285,0.377715,0.989549,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,16.9,103.177624,0.40298,1.062218,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,17.55,102.121677,0.429928,1.137377,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,18.2,102.591605,0.458669,1.214813,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,18.85,102.095032,0.489322,1.294281,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,19.5,102.094823,0.522013,1.375505,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,20.15,102.672964,0.556875,1.458175,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,20.8,102.244725,0.594052,1.541955,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,21.45,102.973608,0.633695,1.626478,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,22.1,101.893815,0.675966,1.711349,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,22.75,102.472244,0.721036,1.796154,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,23.4,101.970119,0.769088,1.880453,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,24.05,102.180522,0.820315,1.963794,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,24.7,101.510147,0.874925,2.045707,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,25.35,101.571258,0.933135,2.125717,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,26.0,101.417489,0.99518,2.20334,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,26.65,100.963341,1.061306,2.278096,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,27.3,101.502321,1.131776,2.349506,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,27.95,101.35706,1.206867,2.417105,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,28.6,101.187411,1.286876,2.48044,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,29.25,101.464177,1.372116,2.539079,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,29.9,101.27393,1.462918,2.592614,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,30.55,100.299728,1.559634,2.640669,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,31.2,100.481207,1.662636,2.682898,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,31.85,99.876356,1.772318,2.718997,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,32.5,100.01051,1.889096,2.748701,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,33.15,99.573136,2.013412,2.771791,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,33.8,100.415699,2.145729,2.788096,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,34.45,99.695211,2.286539,2.797495,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,35.1,99.280162,2.436359,2.799917,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,35.75,99.764586,2.595736,2.795344,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,36.4,98.102912,2.765242,2.78381,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,37.05,98.029206,2.945483,2.765402,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,37.7,99.153743,3.137093,2.740256,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,38.35,98.687644,3.340739,2.708559,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,39.0,98.643238,3.557119,2.670544,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,39.65,97.809562,3.786965,2.626488,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,40.3,98.278177,4.031042,2.576709,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,40.95,99.079158,4.290148,2.521561,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,41.6,98.444607,4.565117,2.461433,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,42.25,98.053825,4.856815,2.396739,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,42.9,97.691606,5.166144,2.327918,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,43.55,97.631676,5.494035,2.255428,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,44.2,96.779793,5.841456,2.179739,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,44.85,97.791497,6.209402,2.10133,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,45.5,98.002826,6.598901,2.020684,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,46.15,96.869513,7.011006,1.938281,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,46.8,97.246644,7.446795,1.854596,close,mechanism_delay_suspected
CB-402,2026-07-08T10:30:00Z,47.45,96.998854,7.907368,1.770093,close,mechanism_delay_suspected
