transformer_id,timestamp,frequency_hz,magnitude_db,phase_deg,winding,label
TX-1,2026-07-08T11:15:00Z,10.0,-17.893033,8.111972,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,10.227859,-18.343743,8.17175,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,10.46091,-18.336332,8.654073,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,10.699271,-18.580664,8.603533,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,10.943064,-19.298423,8.856098,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,11.192412,-19.495699,8.430478,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,11.447441,-19.58574,9.174774,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,11.708281,-19.966135,9.568603,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,11.975065,-20.243487,8.620711,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,12.247928,-20.698878,8.734612,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,12.527008,-20.775811,9.692927,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,12.812447,-21.133819,9.13785,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,13.104391,-21.588408,9.817409,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,13.402986,-21.781173,9.104973,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,13.708385,-22.235247,9.873651,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,14.020743,-22.791577,9.33637,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,14.340219,-22.965898,9.360702,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,14.666974,-23.523809,9.837463,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,15.001174,-23.606234,9.000644,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,15.342989,-24.101809,8.681418,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,15.692593,-24.475707,8.768874,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,16.050163,-24.900184,8.996816,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,16.415881,-24.960236,8.0336,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,16.789931,-25.507001,8.734698,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,17.172505,-25.882075,8.0592,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,17.563796,-26.197657,8.503494,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,17.964004,-26.384265,6.830523,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,18.37333,-26.720139,7.191257,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,18.791983,-27.014824,6.522421,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,19.220175,-27.304246,6.530847,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,19.658124,-27.329601,6.597749,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,20.106052,-27.983183,6.037229,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,20.564187,-28.259446,5.590647,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,21.032761,-28.553769,5.184267,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,21.512011,-28.576869,4.858195,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,22.002182,-28.725787,3.875443,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,22.503522,-29.126306,4.036969,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,23.016285,-29.437516,3.468325,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,23.540732,-29.625699,2.780333,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,24.077129,-29.583359,2.246462,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,24.625748,-29.736968,1.514924,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,25.186868,-29.923353,1.558443,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,25.760774,-30.250224,0.033815,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,26.347756,-30.25075,-0.753064,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,26.948114,-30.393324,-1.652896,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,27.562151,-30.493876,-2.507208,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,28.19018,-30.503001,-3.35561,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,28.832519,-30.699027,-3.996648,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,29.489494,-30.722075,-4.471541,HV,core_clamping_issue_suspected
TX-1,2026-07-08T11:15:00Z,30.161439,-30.898336,-5.12952,HV,core_clamping_issue_suspected
